买家用户名,客户标签,运营建议,净消费额(Net LTV),总流水(Gross),订单数(1Y),退货率(1Y),最近购买(天前),客单价(Net AOV)
chrisiweigel.cw2012,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.49,90.49,1,0.0%,239,90.49
spencer_deals,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,90.49,90.49,1,0.0%,1,90.49
sks5-0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.49,90.49,1,0.0%,281,90.49
pglc3372,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.49,90.49,1,0.0%,274,90.49
lukmantl_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.48,90.48,1,0.0%,261,90.48
pemir-9681,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.42,90.42,1,0.0%,213,90.42
camtur_9062,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.42,90.42,1,0.0%,204,90.42
amde1976,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.4,90.4,1,0.0%,300,90.4
hurec53,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.35,90.35,2,0.0%,217,45.17
demp_davi,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,193,90.24
kenben_60,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,196,90.24
gingemerce_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,191,90.24
warner9780,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,198,90.24
alejtrejom_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,196,90.24
elvisbaker67,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,215,90.24
japa-3136,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,215,90.24
tdooley90,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,194,90.24
wilchav_4195,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,300,90.24
2008wo_812,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,193,90.24
randtompk,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,206,90.24
dami3150_sx1kgbd0x,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,217,90.24
just_eric05,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,210,90.24
romilramauta0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,198,90.24
nicocorvette1991,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,213,90.24
regidela64,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,197,90.24
not0riouskid2die4,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.24,90.24,1,0.0%,220,90.24
jesufranc-18,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$90.19。,90.19,90.19,2,33.3%,317,45.09
patruckaccessories,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.09,90.09,1,0.0%,340,90.09
dirtpapa50,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,90.01,90.01,3,0.0%,151,30.0
nanoloco2013,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,253,90.0
deepseadenis,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,361,90.0
tribalathlete,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$90.00。,90.0,90.0,2,50.0%,158,45.0
kahawai-0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,298,90.0
alexiscarrion,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,263,90.0
nn8888,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,304,90.0
luicru_ylzsteb,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,327,90.0
born4cars,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,90.0,90.0,1,0.0%,292,90.0
eusthern7,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.99,89.99,1,0.0%,357,89.99
yunieskyperez,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,89.99,89.99,1,0.0%,17,89.99
musica_957,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.99,89.99,1,0.0%,359,89.99
clower8,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.99,89.99,1,0.0%,298,89.99
jdb32725,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,89.97,89.97,3,0.0%,101,29.99
ddever8139,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$89.97。,89.97,89.97,2,33.3%,261,44.98
polospoints,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.96,89.96,1,0.0%,227,89.96
adiazgomez2019,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.94,89.94,2,0.0%,232,44.97
suz_3767,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,199,89.77
mjksol-83,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,196,89.77
doctoralex777,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,183,89.77
kepol4402,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,203,89.77
serj_724,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,194,89.77
abbgai20,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,194,89.77
anmo_359187,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,201,89.77
aajawes15,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,192,89.77
dar-56442,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,298,89.77
mikestevez2012,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,216,89.77
javguz-5785,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,217,89.77
stunterfreak,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,200,89.77
dyakovly,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,206,89.77
tupapic-2,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,217,89.77
noahandsdu0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,208,89.77
anram8588,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.77,89.77,1,0.0%,219,89.77
khngu-55,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$89.62。,89.62,89.62,2,50.0%,117,44.81
shanitz-us,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.5,89.5,1,0.0%,330,89.5
codmenesin0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,315,89.49
gravityautoschicago,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,243,89.49
gatorescue1975,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,304,89.49
max_rudchenko,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,204,89.49
adrpo1292,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,206,89.49
joseymamilove77781-0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,355,89.49
abusten2012,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,363,89.49
herus_wu2vo,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,278,89.49
josejadiaz,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,348,89.49
erhou-81,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,361,89.49
joema312,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,356,89.49
04acuratsx,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,308,89.49
trainyardjack,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,357,89.49
fabio01_31,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,355,89.49
cartehanso5,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,185,89.49
sseelaus,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,278,89.49
darplas_34,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,358,89.49
neco3toyota-6,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,361,89.49
survivorperformance_5,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,306,89.49
jellob_11,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,339,89.49
alejver-27,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,326,89.49
britishmod86,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,359,89.49
jair_mexicali,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,333,89.49
jeramkalin_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,331,89.49
jcfaragorn,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,312,89.49
goluas_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,224,89.49
7nrf623,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,224,89.49
tuc73043,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,307,89.49
ka_262830,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,355,89.49
amg37s,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,240,89.49
ehstr99,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,328,89.49
supermac2011-7,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,311,89.49
wholesalewhale152,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,354,89.49
deeterry13,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,254,89.49
karinamercede26,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.49,89.49,1,0.0%,277,89.49
kikejrj-99,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.29,89.29,1,0.0%,184,89.29
ph_110501,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.29,89.29,1,0.0%,207,89.29
ly-73856,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,89.29,89.29,1,0.0%,195,89.29
artrom_78,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,89.0,89.0,2,0.0%,29,44.5
sh_68269937,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,209,88.99
cnguye2661,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,229,88.99
darienj0719,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,21,88.99
agba-5340,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,229,88.99
us2015.gatsm,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,207,88.99
jjha_59,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,220,88.99
luriv8733,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,292,88.99
audiowhiz,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,226,88.99
dach_7128,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,0,88.99
303christ,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,292,88.99
joscor_4011,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,206,88.99
socal.aquariumstore,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,192,88.99
jocor8007,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,291,88.99
nat723472,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,17,88.99
dalit8303,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,243,88.99
acint94,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,0,88.99
480cjf,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,229,88.99
arturlucy2010,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,11,88.99
gygarage,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,228,88.99
pda1959.ioqkwnn,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,195,88.99
604amsan,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,223,88.99
harriv_1300,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,247,88.99
shlomib1646,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,255,88.99
xueyucollectibles,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,225,88.99
clark.art,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,24,88.99
daddyyogi12,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,230,88.99
dashti187,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,241,88.99
bschuette30,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,29,88.99
suprarexi,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.99,88.99,1,0.0%,199,88.99
ouzolude,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,88.99,88.99,1,0.0%,16,88.99
josi1288,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,88.96,88.96,4,0.0%,41,22.24
dorri-9198,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.87,88.87,2,0.0%,274,44.44
starmotorsale,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,88.57,88.57,3,0.0%,50,29.52
washing1-2013,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.49,88.49,1,0.0%,255,88.49
tyrco34,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$88.47。,88.47,88.47,2,33.3%,270,44.23
2014.jahdi,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,346,88.34
djsragoo,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,338,88.34
cregab2,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,314,88.34
papitolr76843,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,333,88.34
juanki15775,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,321,88.34
jrfz_83,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,352,88.34
damdamiasanti,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,326,88.34
lo789253,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,330,88.34
launch96748,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,312,88.34
reinlopez_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,351,88.34
matthefelician-0,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,88.34,88.34,2,0.0%,76,44.17
pokani_03,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,329,88.34
darrylseri,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,332,88.34
ingemauricio3,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.34,88.34,1,0.0%,321,88.34
maikoserran_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.3,88.3,1,0.0%,345,88.3
deniburduj_0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.3,88.3,1,0.0%,334,88.3
hec4237,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.3,88.3,1,0.0%,330,88.3
weschil40,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.3,88.3,1,0.0%,333,88.3
bigipr0,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.0,88.0,1,0.0%,277,88.0
noelmarte,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.0,88.0,1,0.0%,355,88.0
praleja.o5hda,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,88.0,88.0,1,0.0%,227,88.0
pink3480,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,256,87.99
oc121212,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,274,87.99
trajakat5,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,257,87.99
low99explorer,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,274,87.99
ronaldallen7,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,268,87.99
j7576ian,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,264,87.99
anajulie2,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,272,87.99
marbusta-2350,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,274,87.99
miltojohnso-86,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,264,87.99
pastsam1,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,268,87.99
805medina,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,260,87.99
anthony.g*59,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,268,87.99
lynn-gle,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,257,87.99
accustoms23,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,267,87.99
tobre-4244,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,273,87.99
kikinvaquez03-9,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.99,87.99,1,0.0%,261,87.99
aniser63,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.98,87.98,1,0.0%,321,87.98
frankciccio9469,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$87.97。,87.97,87.97,2,33.3%,61,43.98
bperk1995,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$87.97。,87.97,87.97,2,33.3%,232,43.98
sbowen522,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.41,87.41,1,0.0%,318,87.41
anvas8272,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.41,87.41,1,0.0%,315,87.41
enigma7301,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,87.39,87.39,1,0.0%,27,87.39
ross-nic,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,87.39,87.39,1,0.0%,11,87.39
hugoaloz-0,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,87.39,87.39,1,0.0%,18,87.39
masterbider121,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,87.39,87.39,1,0.0%,5,87.39
diesel_blooded,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,87.39,87.39,1,0.0%,25,87.39
jua6353-ypaxuk,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.0,87.0,1,0.0%,284,87.0
jrengelt2010,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,87.0,87.0,1,0.0%,294,87.0
carlobarro_5,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,86.99,86.99,1,0.0%,228,86.99
lumat_9749,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,86.98,86.98,1,0.0%,2,86.98
veterans.plus_3,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,86.97,86.97,3,0.0%,57,28.99
fusionelementals,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$86.97。,86.97,86.97,2,33.3%,111,43.48
zht191,[LOYAL] 忠诚客户,复购良好: 年内2次以上购买，适合新品推荐。,86.94,86.94,3,0.0%,85,28.98
lh.-60,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,86.93,86.93,1,0.0%,7,86.93
metroluis,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,86.93,86.93,1,0.0%,27,86.93
thesuperdutyking,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,86.88,86.88,1,0.0%,363,86.88
garcbrya-nbbs5mzs,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,86.49,86.49,1,0.0%,210,86.49
rashadahmad2005,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,86.2,86.2,1,0.0%,314,86.2
dygar-8,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,85.99,85.99,1,0.0%,355,85.99
xavnor32,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,85.99,85.99,1,0.0%,24,85.99
h-shhow-jrmfku,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,85.97,85.97,1,0.0%,207,85.97
kendrictra38,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,85.94,85.94,1,0.0%,248,85.94
rvalle01,[DISPUTE] 纠纷发起者,高危预警: 曾发起Payment Dispute，建议拉黑。,85.88,85.88,1,50.0%,323,85.88
joaquinn123,[DORMANT] 沉睡大客户,流失预警: 优质客户超半年未回购，建议邮件召回。,85.49,85.49,1,0.0%,188,85.49
